OBJECTID_1,GEOID,STATE,STATE_NAME,COUNTY,NAME,Percent_,AGE_ALL,AGE_0_5,AGE_0_5_RATE,Shape__Area,Shape__Length
2592,47091,47,Tennessee,91,Johnson,1.4754119,17789,720,4.04744505,0.078820099,1.590521952
2595,47117,47,Tennessee,117,Marshall,1.42175017,32269,1890,5.857014472,0.096749558,1.834216162
2679,47051,47,Tennessee,51,Franklin,1.37811047,41512,2057,4.955193679,0.147504294,1.900797023
2734,47021,47,Tennessee,21,Cheatham,1.28993547,39929,2109,5.281875329,0.079752703,1.747189019
2740,47151,47,Tennessee,151,Scott,1.51387985,21954,1335,6.08089642,0.138777685,1.972181053
2758,47039,47,Tennessee,39,Decatur,1.41461177,11683,605,5.178464436,0.088849822,1.665532162
2777,47077,47,Tennessee,77,Henderson,1.45572942,27859,1499,5.38066693,0.135576772,1.653547064
2789,47119,47,Tennessee,119,Maury,1.4517986,89776,5951,6.628720371,0.158603908,2.155814918
2797,47101,47,Tennessee,101,Lewis,1.49506326,11956,657,5.495148879,0.072706311,1.537859017
2862,47047,47,Tennessee,47,Fayette,1.37076469,39692,2042,5.144613524,0.181038569,1.73174579
2882,47063,47,Tennessee,63,Hamblen,1.48890258,63740,3876,6.080953875,0.04563492,1.490768181
2931,47001,47,Tennessee,1,Anderson,1.4412629,75775,4075,5.377763114,0.089388873,1.848519424
3083,47033,47,Tennessee,33,Crockett,1.60573215,14499,884,6.096972205,0.068639984,1.576522662
3091,47045,47,Tennessee,45,Dyer,1.5723706,37576,2247,5.979880775,0.136418177,1.917756712
3092,47053,47,Tennessee,53,Gibson,1.47188298,49175,3161,6.42806304,0.156272977,1.985549825
3126,47113,47,Tennessee,113,Madison,1.57589883,97682,6122,6.267275445,0.143897229,1.630082198
3129,47015,47,Tennessee,15,Cannon,1.39507521,13976,736,5.266170578,0.068619989,1.294642065
